City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
160,daru,89,SL,1561498804,94,7.99,-10.85,75.13,3.53
161,cabedelo,75,BR,1561498805,88,-6.97,-34.84,77.0,4.7
162,guayaramerin,55,BO,1561498805,62,-10.82,-65.36,85.75,2.44
163,caravelas,0,BR,1561498717,76,-17.73,-39.27,74.41,9.51
164,turukhansk,0,RU,1561498805,70,65.8,87.96,43.63,7.18
165,roma,0,IT,1561498709,61,41.89,12.48,79.0,4.7
166,taltal,40,CL,1561498806,81,-25.41,-70.49,54.97,5.68
167,tromso,75,NO,1561498617,81,69.65,18.96,50.0,18.34
168,hervey bay,90,AU,1561498485,93,-25.3,152.85,61.0,10.29
169,mayumba,96,GA,1561498806,80,-3.44,10.65,74.95,10.09
170,shimanovsk,40,RU,1561498806,78,52.0,127.67,51.19,8.77
171,kaduy,100,RU,1561498806,74,59.2,37.15,51.73,3.58
172,springbok,0,ZA,1561498807,93,-29.67,17.88,44.35,1.5
173,ahipara,92,NZ,1561498707,77,-35.17,173.16,57.85,13.89
174,serenje,0,ZM,1561498807,69,-13.23,30.22,54.79,5.35
175,trat,99,TH,1561498807,76,12.25,102.51,82.99,1.43
176,port macquarie,40,AU,1561498744,100,-31.43,152.91,54.0,4.7
177,vadum,100,DK,1561498807,92,57.12,9.86,72.0,1.01
178,kyshtovka,100,RU,1561498807,95,56.56,76.62,59.11,9.15
179,georgetown,20,GY,1561498730,70,6.8,-58.16,86.0,16.11
180,taoudenni,0,ML,1561498694,6,22.68,-3.98,102.31,10.8
181,carauari,100,BR,1561498808,85,-4.88,-66.9,82.69,2.46
182,airai,0,TL,1561498736,78,-8.93,125.41,64.87,5.01
183,kahului,40,US,1561498469,52,20.89,-156.47,89.6,14.99
184,gueret,0,FR,1561498808,57,46.17,1.87,77.0,8.05
185,ostrovnoy,52,RU,1561498808,76,68.05,39.51,42.19,3.31
186,hualmay,39,PE,1561498759,85,-11.1,-77.61,63.07,18.21
187,valparaiso,40,US,1561498809,15,41.47,-87.06,84.99,12.75
188,winchester,75,GB,1561498809,93,51.06,-1.31,68.0,6.93
189,huittinen,90,FI,1561498809,76,61.18,22.7,57.99,6.93
190,saint-michel-des-saints,98,CA,1561498809,4,46.68,-73.92,71.01,1.01
191,cockburn town,77,TC,1561498809,79,21.46,-71.14,81.07,11.99
192,skerries,40,IE,1561498810,87,53.58,-6.11,60.01,9.17
193,fortuna,20,ES,1561498741,83,38.18,-1.13,75.0,1.12
194,bethel,75,US,1561498713,77,60.79,-161.76,64.4,5.82
195,butaritari,100,KI,1561498564,75,3.07,172.79,83.23,8.14
196,gwadar,78,PK,1561498810,75,25.12,62.33,84.85,1.41
197,college,75,US,1561498723,35,64.86,-147.8,72.0,4.7
198,kiama,40,AU,1561498811,100,-34.67,150.86,59.0,9.17
199,flinders,40,AU,1561498581,100,-34.58,150.85,59.0,9.17
200,altay,0,CN,1561498811,81,47.83,88.13,38.95,8.97
201,ajaigarh,69,IN,1561498811,43,24.9,80.27,92.95,10.29
202,atar,0,MR,1561498687,9,20.52,-13.05,101.05,13.56
203,kodiak,1,US,1561498811,45,39.95,-94.76,90.0,16.11
204,tiksi,1,RU,1561498703,59,71.64,128.87,54.61,3.69
205,port lincoln,0,AU,1561498752,55,-34.72,135.86,56.23,17.4
206,upernavik,100,GL,1561498560,98,72.79,-56.15,34.27,11.92
207,coahuayana,36,MX,1561498812,52,18.62,-100.35,91.33,1.92
208,fujin,95,CN,1561498812,96,47.24,132.03,67.21,6.58
209,north bend,75,US,1561498812,72,43.41,-124.22,71.01,14.99
210,protivin,1,US,1561498812,39,43.22,-92.09,82.99,13.87
211,bambanglipuro,1,ID,1561498732,87,-7.95,110.28,73.15,6.15
212,santa fe,0,AR,1561498813,35,-31.62,-60.7,54.0,1.01
213,port hardy,75,CA,1561498755,67,50.7,-127.42,60.8,6.93
214,ballina,0,IE,1561498813,87,54.11,-9.15,60.8,9.17
215,todos santos,5,MX,1561498813,18,23.45,-110.23,99.0,17.22
216,akdepe,0,TM,1561498814,42,42.05,59.39,82.4,6.93
217,marawi,100,PH,1561498718,92,8.0,124.29,75.99,5.01
218,bahia blanca,0,AR,1561498581,39,-38.72,-62.27,47.23,11.48
219,san rafael,0,AR,1561498658,23,-34.61,-68.33,48.13,14.65
220,sur,3,OM,1561498718,81,22.57,59.53,80.35,16.17
221,bridlington,100,GB,1561498815,93,54.08,-0.19,57.2,8.05
222,iqaluit,40,CA,1561498724,70,63.75,-68.52,46.4,8.05
223,grimshaw,75,CA,1561498815,52,56.19,-117.61,69.8,3.36
224,voka,98,EE,1561498815,69,59.41,27.59,59.29,10.71
225,severo-kurilsk,100,RU,1561498691,97,50.68,156.12,43.27,6.08
226,cherskiy,0,RU,1561498703,28,68.75,161.3,70.09,4.38
227,provideniya,90,RU,1561498719,87,64.42,-173.23,46.4,20.13
228,omsk,75,RU,1561498815,82,54.99,73.37,66.2,6.71
229,mujiayingzi,67,CN,1561498816,64,42.12,118.78,62.35,10.25
230,beringovskiy,100,RU,1561498706,91,63.05,179.32,41.47,15.7
231,avarua,100,CK,1561498697,61,-21.21,-159.78,77.0,13.87
232,quatre cocos,75,MU,1561498816,78,-20.21,57.76,73.4,12.75
233,tuatapere,91,NZ,1561498469,83,-46.13,167.69,42.01,7.0
234,jumla,50,NP,1561498816,92,29.28,82.18,52.45,4.05
